,stemMin,stemMax,numberOfStemPeers,stemReductionMin,stemReductionMax,hops_mean,hops_median,hops_stdd,hops_min,hops_max,starting_stem_mean,starting_stem_median,starting_stem_stdd,starting_stem_min,starting_stem_max
127,1,3,2,0.7999999999999999,2.3,1.3595,1.0,0.5246520275382532,1,4,1.9968,2.0,0.8142418313990015,1,3
128,1,3,2,0.8999999999999999,0.8999999999999999,2.0073,2.0,0.8381209399603378,1,5,1.9905,2.0,0.8217114761277221,1,3
129,1,3,2,0.8999999999999999,0.9999999999999999,2.0226,2.0,0.8380269924053759,1,5,2.0051,2.0,0.8196791994432944,1,3
130,1,3,2,0.8999999999999999,1.0999999999999999,1.869,2.0,0.7848815197212888,1,5,2.0094,2.0,0.8167690248779027,1,3
131,1,3,2,0.8999999999999999,1.2,1.7549,2.0,0.7451348804075675,1,5,2.006,2.0,0.8179021946418776,1,3
132,1,3,2,0.8999999999999999,1.2999999999999998,1.6754,2.0,0.7004533103640813,1,4,2.0066,2.0,0.8226520771261688,1,3
133,1,3,2,0.8999999999999999,1.4,1.614,2.0,0.6601545273646164,1,4,2.0011,2.0,0.8163937714118108,1,3
134,1,3,2,0.8999999999999999,1.5,1.5704,1.0,0.6315408458682622,1,4,2.0005,2.0,0.8203046690102404,1,3
135,1,3,2,0.8999999999999999,1.6,1.5364,1.0,0.6058671801641016,1,4,2.0141,2.0,0.8159051354171024,1,3
136,1,3,2,0.8999999999999999,1.7,1.5037,1.0,0.5949674865066158,1,4,1.9954,2.0,0.8160752661366474,1,3
137,1,3,2,0.8999999999999999,1.7999999999999998,1.4881,1.0,0.5717153050251497,1,4,2.0041,2.0,0.820416473505987,1,3
138,1,3,2,0.8999999999999999,1.9,1.4689,1.0,0.5619900266018962,1,4,2.0075,2.0,0.8152568613633375,1,3
139,1,3,2,0.8999999999999999,2.0,1.4469,1.0,0.545875800892474,1,3,1.9949,2.0,0.8129415661657361,1,3
140,1,3,2,0.8999999999999999,2.1,1.41,1.0,0.5386093203798092,1,4,1.9993,2.0,0.812465082326619,1,3
141,1,3,2,0.8999999999999999,2.2,1.3733,1.0,0.5201414326892254,1,4,2.0056,2.0,0.8176604674313173,1,3
142,1,3,2,0.8999999999999999,2.3,1.3372,1.0,0.5068492478045123,1,4,1.9928,2.0,0.817647943799775,1,3
143,1,3,2,0.8999999999999999,2.4,1.3141,1.0,0.49319488034650155,1,4,1.9985,2.0,0.8176171169930335,1,3
144,1,3,2,0.9999999999999999,0.9999999999999999,1.9985,2.0,0.8165156152824022,1,3,1.9985,2.0,0.8165156152824022,1,3
145,1,3,2,0.9999999999999999,1.0999999999999999,1.8482,2.0,0.766131033179051,1,3,2.0181,2.0,0.8137397556958859,1,3
146,1,3,2,0.9999999999999999,1.2,1.7293,2.0,0.7130368223310771,1,3,2.0071,2.0,0.8132955120987697,1,3
147,1,3,2,0.9999999999999999,1.2999999999999998,1.65,2.0,0.6744627491566899,1,3,2.011,2.0,0.8169938800260379,1,3
148,1,3,2,0.9999999999999999,1.4,1.5887,2.0,0.6421310691751334,1,3,1.9993,2.0,0.809382177960449,1,3
149,1,3,2,0.9999999999999999,1.5,1.5532,1.0,0.6196529351177158,1,3,1.999,2.0,0.8146158603906506,1,3
150,1,3,2,0.9999999999999999,1.6,1.5183,1.0,0.5970469914504218,1,3,2.0037,2.0,0.8194426825593112,1,3
151,1,3,2,0.9999999999999999,1.7,1.4938,1.0,0.5768548864315878,1,3,2.0011,2.0,0.8143087805003701,1,3
152,1,3,2,0.9999999999999999,1.7999999999999998,1.4706,1.0,0.5592277174818859,1,3,2.0088,2.0,0.8138320219799661,1,3
153,1,3,2,0.9999999999999999,1.9,1.456,1.0,0.5463185883712909,1,3,2.0144,2.0,0.8139979361153197,1,3
154,1,3,2,0.9999999999999999,2.0,1.4363,1.0,0.5366025624239974,1,3,1.9916,2.0,0.8198350077912019,1,3
